enhancerid	seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup	attributes
GH10J003820	chr10	3817601	3824800	7200	*	6	Distal Intergenic	10	3833950	3834728	779	1	105376365	ENST00000413339.1	-9150	ENSG00000230573	LINC02639	long intergenic non-protein coding RNA 2639	8_EnhG2	GH10J003820;HSALNG0075733:250.66;LINC02639:250.66;KLF6:12.03;lnc-KLF6-17-002:0.41;AKR1E2:0.02
GH10J003822	chr10	3817601	3824800	7200	*	6	Distal Intergenic	10	3833950	3834728	779	1	105376365	ENST00000413339.1	-9150	ENSG00000230573	LINC02639	long intergenic non-protein coding RNA 2639	8_EnhG2	GH10J003822;HSALNG0075733:250.66;LINC02639:250.66;lnc-PFKP-32:250.66;KLF6:12.03;AKR1E2:0.02
GH10J003824	chr10	3817601	3824800	7200	*	6	Distal Intergenic	10	3833950	3834728	779	1	105376365	ENST00000413339.1	-9150	ENSG00000230573	LINC02639	long intergenic non-protein coding RNA 2639	8_EnhG2	GH10J003824;HSALNG0075735:250.66;lnc-KLF6-19:250.66;KLF6:25.72;PITRM1-AS1:14.19;ENSG00000228353:10.72;LINC02639:0.45;AKR1E2:0.02
GH10J014611	chr10	14613001	14614600	1600	*	2	Promoter (<=1kb)	10	14521876	14612552	90677	2	83641	ENST00000442012.5	-449	ENSG00000065809	FAM107B	family with sequence similarity 107 member B	9_EnhA1	GH10J014611;piR-57460-040:250.66;LOC105376429:11.39;CDNF:11.02;HSPA14:11.02;FAM107B:5.54;lnc-HSPA14-3:0.45;FRMD4A:0.11
GH10J014613	chr10	14613001	14614600	1600	*	2	Promoter (<=1kb)	10	14521876	14612552	90677	2	83641	ENST00000442012.5	-449	ENSG00000065809	FAM107B	family with sequence similarity 107 member B	9_EnhA1	GH10J014613;piR-57460-040:250.66;FAM107B:18.73;LOC105376429:10.94;CDNF:10.27;HSPA14:10.27;lnc-HSPA14-3:0.45;FRMD4A:0.11
GH11J003146	chr11	3147601	3148800	1200	*	3	Intron (ENST00000263650.12/114879, intron 1 of 21)	11	3126483	3161393	34911	2	114879	ENST00000534157.1	12593	ENSG00000021762	OSBPL5	oxysterol binding protein like 5	11_EnhWk	GH11J003146;lnc-SLC22A18-7:250.66;OSBPL5:7.70;lnc-MRGPRG-1:0.37;MN309223:0.37;CARS1:0.16
GH12J094674	chr12	94676401	94676800	400	*	4	Distal Intergenic	12	94567122	94650557	83436	2	57458	ENST00000261226.9	-25844	ENSG00000057704	TMCC3	transmembrane and coiled-coil domain family 3	8_EnhG2	GH12J094674;TMCC3:30.82;HSALNG0093199:0.31;NDUFA12:0.05
GH13J044988	chr13	44990001	44990200	200	*	2	Promoter (<=1kb)	13	44989620	45033602	43983	1	55425	ENST00000497558.5	381	ENSG00000133114	GPALPP1	GPALPP motifs containing 1	11_EnhWk	GH13J044988;GPALPP1:250.66;NUFIP1:250.66;RN7SL49P:5.75;TPT1-AS1:4.09;RF00994-271:0.66;lnc-GPALPP1-5:0.29;CM034963-089:0.16;ENSG00000223732:0.16;TSC22D1:0.04
GH14J021263	chr14	21270001	21271600	1600	*	2	Promoter (<=1kb)	14	21209136	21269494	60359	2	3183	ENST00000336053.10	-507	ENSG00000092199	HNRNPC	heterogeneous nuclear ribonucleoprotein C	11_EnhWk	GH14J021263;HNRNPC:250.66;METTL3:46.99;SUPT16H:36.06;CHD8:34.05;METTL17:20.36;PIP4P1:18.16;ENSG00000258515:14.33;OSGEP:11.54;APEX1:10.58;RAB2B:10.33;CCNB1IP1:10.01;TRAV8-5:5.61;TOX4:4.46;lnc-RPGRIP1-5:0.66;lnc-SUPT16H-3:0.66;L13713-071:0.45;OR5AU1:0.14
GH14J090087	chr14	90087401	90087800	400	*	2	Intron (ENST00000282146.5/56659, intron 1 of 1)	14	90061994	90185853	123860	1	56659	ENST00000282146.5	25407	ENSG00000152315	KCNK13	potassium two pore domain channel subfamily K member 13	11_EnhWk	GH14J090087;KCNK13:15.97;piR-36588-164:0.66;PSMC1:0.10
GH16J085075	chr16	85074801	85075600	800	*	2	Promoter (1-2kb)	16	85077460	85088403	10944	1	9764	ENST00000562580.5	-1860	ENSG00000135709	KIAA0513	KIAA0513	7_EnhG1	GH16J085075;KIAA0513:9.15;ZDHHC7:4.98;HSALNG0113184:0.66;lnc-FAM92B-4:0.45;CIBAR2:0.29
GH16J089162	chr16	89161601	89164600	3000	*	3	Promoter (1-2kb)	16	89166383	89169147	2765	1	400558	ENST00000378340.1	-1783	ENSG00000205015	LINC02138	long intergenic non-protein coding RNA 2138	11_EnhWk	GH16J089162;CM034966-370:250.66;LINC00304:250.45;lnc-SLC22A31-8:0.66;CDH15:0.45;ACSF3:0.20
GH16J089163	chr16	89161601	89164600	3000	*	3	Promoter (1-2kb)	16	89166383	89169147	2765	1	400558	ENST00000378340.1	-1783	ENSG00000205015	LINC02138	long intergenic non-protein coding RNA 2138	11_EnhWk	GH16J089163;CM034966-370:250.66;ACSF3:20.19;LINC00304:15.09;LOC105371414:4.75;CM034966-371:0.66;LINC02138:0.66;CDH15:0.45
GH17J057911	chr17	57915601	57918800	3200	*	6	Intron (ENST00000579285.1/107985065, intron 1 of 1)	17	57912364	57915139	2776	1	107985065	ENST00000580184.1	3237	NA	LOC107985065	uncharacterized LOC107985065	8_EnhG2	GH17J057911;CUEDC1:11.75;MRPS23:11.32;VEZF1:4.94;ENSG00000264914:0.66;LOC107985065:0.66;HSALNG0117670:0.35
GH17J078733	chr17	78733601	78735400	1800	*	2	Promoter (1-2kb)	17	78698269	78736890	38622	2	9267	ENST00000589768.5	1490	ENSG00000108669	CYTH1	cytohesin 1	11_EnhWk	GH17J078733;CYTH1:291.75;USP36:54.50;SOCS3:11.96;RNU6-638P:11.69;TNRC6C:11.66;DNAH17:9.95;ENGASE:7.69;TNRC6C-AS1:6.03;PGS1:5.04;lnc-C1QTNF1-9:0.41;lnc-USP36-4:0.29
GH17J080544	chr17	80544801	80545800	1000	*	4	Promoter (<=1kb)	17	80544819	80858124	313306	1	57521	ENST00000574767.5	0	ENSG00000141564	RPTOR	regulatory associated protein of MTOR complex 1	8_EnhG2	GH17J080544;RPTOR:258.03;ENSG00000289764:250.66;ENSG00000262877:11.54;NPTX1:8.54;piR-42694-070:0.66;MK280269-022:0.23;LOC124904075:0.05;lnc-TMEM105-1:0.02
GH18J074115	chr18	74114001	74114800	800	*	2	Intron (ENST00000583443.5/201456, intron 8 of 9)	18	74073444	74123510	50067	2	201456	ENST00000580088.1	8710	ENSG00000141665	FBXO15	F-box protein 15	8_EnhG2	GH18J074115;TIMM21:8.48;FBXO15:7.21;CYB5A:5.98;HSALNG0122420:0.41;lnc-CYB5A-3:0.37
